# put the affix in Column A and the tags you want it to have in following columns.
#
# tags can have multipliers
# for example; the added strength entry might be:
#
# +1 to Strength; AddStr; MaxLife*0.5
#
# so if an item has a "+23 to Strength" mod;
# then the AddStr tag will get 23 points and the MaxLife tag will get 11.5 points
# (this tool doesn't round down like the game would)
#
# a multiplier of zero means to count the mod as 1 no matter the value
# having no tag is interpreted as Junk*0
#
# mods are checked in order, so if there are duplicates in this file, only the first will match

+1% to Chaos Resistance; ResChaos; TotRes
+1% to Cold and Chaos Resistances; ResCold; ResChaos; TotRes*2
+1% to Cold and Lightning Resistances; ResCold; ResLight; TotRes*2
+1% to Cold Resistance; ResCold; TotRes
+1% to Fire and Chaos Resistances; ResFire; ResChaos; TotRes*2
+1% to Fire and Cold Resistances; ResFire; ResCold; TotRes*2
+1% to Fire and Lightning Resistances; ResFire; ResLight; TotRes*2
+1% to Fire Resistance; ResFire; TotRes
+1% to Lightning and Chaos Resistances; ResLight; ResChaos; TotRes*2
+1% to Lightning Resistance; ResLight; TotRes
+1% to All Elemental Resistances; ResAll; ResCold; ResFire; ResLight; TotRes*3
+1% chance to Suppress Spell Damage; Suppress; TotRes*2

+1 to Maximum Life; MaxLife
+1 to Level of all Lightning Spell Skill Gems; GemLvl; GemLvlLight
+1 to Level of all Physical Spell Skill Gems; GemLvl; GemLvlPhys
+1 to Level of all Spell Skill Gems; GemLvl; GemLvlSpell; GemLvlChaos; GemLvlCold; GemLvlFire; GemLvlLight; GemLvlPhys
+1 to Level of all Raise Spectre Gems; GemLvl; GemLvlMinion
+1 to Level of all Raise Zombie Gems; GemLvl; GemLvlMinion
+1 to Level of all Minion Skill Gems; GemLvl; GemLvlMinion

+1 to Level of Socketed AoE Gems; GemLvl
+1 to Level of Socketed Aura Gems; GemLvl
+1 to Level of Socketed Bow Gems; GemLvl
+1 to Level of Socketed Chaos Gems; GemLvl
+1 to Level of Socketed Cold Gems; GemLvl
+1 to Level of Socketed Curse Gems; GemLvl
+1 to Level of Socketed Duration Gems; GemLvl
+1 to Level of Socketed Fire Gems; GemLvl
+1 to Level of Socketed Gems; GemLvl
+1 to Level of Socketed Lightning Gems; GemLvl
+1 to Level of Socketed Melee Gems; GemLvl
+1 to Level of Socketed Minion Gems; GemLvl; GemLvlMinion; Minion*10
+1 to Level of Socketed Projectile Gems; GemLvl
+1 to Level of Socketed Strength Gems; GemLvl
+1 to Level of Socketed Trap or Mine Gems; GemLvl
+1 to Level of Socketed Warcry Gems; GemLvl

1% increased Critical Strike Chance for Spells; CritChanceSpell; NumCrit*0
1% increased Global Critical Strike Chance; CritChanceSpell; NumCrit*0
+1% to Global Critical Strike Multiplier; CritMult; NumCrit*0

+1% Critical Strike Multiplier while a Rare or Unique Enemy is Nearby; NumCrit*0
+1% to Critical Strike Multiplier for Spell Damage; NumCrit*0
+1% to Critical Strike Multiplier for Spells; NumCrit*0
+1% to Critical Strike Multiplier if Dexterity is higher than Intelligence; NumCrit*0
+1% to Critical Strike Multiplier if you've Killed Recently; NumCrit*0
+1% to Critical Strike Multiplier per Power Charge; NumCrit*0
+1% to Critical Strike Multiplier while Dual Wielding; NumCrit*0
+1% to Critical Strike Multiplier with Bows; NumCrit*0
+1% to Critical Strike Multiplier with Cold Skills; NumCrit*0
+1% to Critical Strike Multiplier with Elemental Skills; NumCrit*0
+1% to Critical Strike Multiplier with Fire Skills; NumCrit*0
+1% to Critical Strike Multiplier with Lightning Skills; NumCrit*0
+1% to Critical Strike Multiplier with One Handed Melee Weapons; NumCrit*0
+1% to Critical Strike Multiplier with Two Handed Melee Weapons; NumCrit*0
+1% to Global Critical Strike Multiplier per Green Socket; NumCrit*0
+1% to Melee Critical Strike Multiplier; NumCrit*0
+1% to Monster Critical Strike Multiplier; NumCrit*0
1% chance to Blind Enemies on Critical Strike; NumCrit*0
1% chance to Cause Bleeding on Critical Strike; NumCrit*0
1% chance to Cause Poison on Critical Strike; NumCrit*0
1% Chance to Dodge Attack Hits if you've taken a Critical Strike Recently; NumCrit*0
1% chance to Freeze, Shock and Ignite if you haven't Crit Recently; NumCrit*0
1% chance to gain a Flask Charge when you deal a Critical Strike; NumCrit*0
1% chance to gain a Frenzy Charge on Critical Strike; NumCrit*0
1% chance to gain a Power Charge on Critical Strike; NumCrit*0
1% increased Attack Critical Strike Chance while Dual Wielding; NumCrit*0
1% increased Attack Speed if you've dealt a Critical Strike Recently; NumCrit*0
1% increased Critical Strike Chance; NumCrit*0
1% increased Critical Strike Chance against Blinded Enemies; NumCrit*0
1% increased Critical Strike Chance against Enemies on Full Life; NumCrit*0
1% increased Critical Strike Chance against Shocked Enemies; NumCrit*0
1% increased Critical Strike Chance for each blade; NumCrit*0
1% increased Critical Strike Chance for Spells per 1 Player Maximum Life; NumCrit*0
1% increased Critical Strike Chance if you haven't Crit Recently; NumCrit*0
1% increased Critical Strike Chance if you haven't gained a Power Charge Recently; NumCrit*0
1% increased Critical Strike Chance per Power Charge; NumCrit*0
1% increased Critical Strike Chance with Bows; NumCrit*0
1% increased Critical Strike Chance with Cold Skills; NumCrit*0
1% increased Critical Strike Chance with Elemental Skills; NumCrit*0
1% increased Critical Strike Chance with Fire Skills; NumCrit*0
1% increased Critical Strike Chance with Lightning Skills; NumCrit*0
1% increased Critical Strike Chance with One Handed Melee Weapons; NumCrit*0
1% increased Critical Strike Chance with Two Handed Melee Weapons; NumCrit*0
1% increased Elemental Damage if you've dealt a Critical Strike Recently; NumCrit*0
1% increased Global Critical Strike Chance when in Main Hand; NumCrit*0
1% increased Melee Critical Strike Chance; NumCrit*0
1% increased Rarity of Items Dropped by Enemies killed with a Critical Strike; NumCrit*0
1% of Attack Damage Leeched as Life on Critical Strike; NumCrit*0
1% reduced Critical Strike Chance per Power Charge; NumCrit*0
Added Small Passive Skills grant: 1% increased Critical Strike Chance; NumCrit*0
Adds 1 to 1 Chaos Damage if you've dealt a Critical Strike Recently; NumCrit*0
Adds 1 to 1 Fire Damage if you've dealt a Critical Strike Recently; NumCrit*0
Cannot Leech Life from Critical Strikes; NumCrit*0
Gain 1% of Physical Damage as Extra Fire Damage if you've dealt a Critical Strike Recently; NumCrit*0
Gain a Frenzy Charge on Critical Strike; NumCrit*0
Nearby Enemies have 1% reduced Critical Strike Chance; NumCrit*0
Trigger Level 1 Consecrate when you deal a Critical Strike; NumCrit*0
Vaal Skills have 1% increased Critical Strike Chance during effect; NumCrit*0
You and nearby allies have 1% increased Spell Critical Strike Chance; NumCrit*0
You gain Onslaught for 1 seconds on Critical Strike; NumCrit*0
You take 1% reduced Extra Damage from Critical Strikes; NumCrit*0

+1 to maximum number of Summoned Totems; NumTotems

Adds 1 to 1 Cold Damage to Spells; AddColdSpell
Adds 1 to 1 Fire Damage to Spells; AddFireSpell
Adds 1 to 1 Lightning Damage to Spells; AddLightSpell

+1 to maximum Armour; AddArm
+1 to maximum Energy Shield; AddES
+1 to maximum Evasion Rating; AddEva
+1 to maximum Mana; AddMana

Minions deal 1% increased Damage; Minion
Minions have +1% to all Elemental Resistances; Minion
Minions have 1% increased Attack Speed; Minion
Minions have 1% increased Cast Speed; Minion
Minions have 1% increased maximum Life; Minion

1% faster start of Energy Shield Recharge; ESRecoverStart
1% increased Energy Shield Recharge Rate; ESRecoverRate
1% increased Energy Shield; PctES

Gain 1% of Physical Damage as Extra Fire Damage; PhysAsFire
Gain 1% of Cold Damage as Extra Chaos Damage
Gain 1% of Fire Damage as Extra Chaos Damage
Gain 1% of Non-Chaos Damage as extra Chaos Damage
Gain 1% of Physical Damage as Extra Chaos Damage
Gain 1% of Physical Damage as Extra Cold Damage
Gain 1% of Physical Damage as Extra Lightning Damage

1% increased Attack Speed; IAS
1% increased Attack Speed while a Rare or Unique Enemy is Nearby; IAS
1% increased Attack Speed while Dual Wielding; IAS
1% increased Attack Speed while holding a Shield; IAS
1% increased Attack Speed with Axes; IAS
1% increased Attack Speed with Bows; IAS
1% increased Attack Speed with Claws; IAS
1% increased Attack Speed with Maces or Sceptres; IAS
1% increased Attack Speed with Movement Skills; IAS
1% increased Attack Speed with One Handed Melee Weapons; IAS
1% increased Attack Speed with Swords; IAS
1% increased Attack Speed with Two Handed Melee Weapons; IAS
1% increased Attack Speed with Wands; IAS

Regenerate 1 Life per second; LifeRegenFlat
Regenerate 1% of Life per second; LifeRegenPct

# heist mods

1% chance on opening a Chest to not generate Alert Level
1% chance to Avoid being Interrupted
1% chance to not generate Alert Level on opening a Chest using Agility
1% chance to not generate Alert Level on opening a Chest using Brute Force
1% chance to not generate Alert Level on opening a Chest using Counter-Thaumaturgy
1% chance to not generate Alert Level on opening a Chest using Deception
1% chance to not generate Alert Level on opening a Chest using Demolition
1% chance to not generate Alert Level on opening a Chest using Engineering
1% chance to not generate Alert Level on opening a Chest using Lockpicking
1% chance to not generate Alert Level on opening a Chest using Perception
1% chance to not generate Alert Level on opening a Chest using Trap Disarmament

1% increased Job Experience gain
1% increased Agility Experience gained
1% increased Brute Force Experience gained
1% increased Counter-Thaumaturgy Experience gained
1% increased Deception Experience gained
1% increased Demolition Experience gained
1% increased Engineering Experience gained
1% increased Lockpicking Experience gained
1% increased Perception Experience gained
1% increased Trap Disarmament Experience gained

1% increased Job speed
1% increased Agility speed
1% increased Brute Force speed
1% increased Counter-Thaumaturgy speed
1% increased Deception speed
1% increased Demolition speed
1% increased Engineering speed
1% increased Lockpicking speed
1% increased Perception speed
1% increased Trap Disarmament speed

1% reduced Hiring Fee
1% reduced Hiring Fee for Agility Jobs
1% reduced Hiring Fee for Brute Force Jobs
1% reduced Hiring Fee for Counter-Thaumaturgy Jobs
1% reduced Hiring Fee for Deception Jobs
1% reduced Hiring Fee for Demolition Jobs
1% reduced Hiring Fee for Engineering Jobs
1% reduced Hiring Fee for Lockpicking Jobs
1% reduced Hiring Fee for Perception Jobs
1% reduced Hiring Fee for Trap Disarmament Jobs

+1 seconds to Lockdown Timer
+1 to Character Level
+1% to Critical Strike Multiplier while area is not in Lockdown\nPlayers have +1% to Critical Strike Multiplier while area is not in Lockdown; NumCrit*0
1 to 1 added Cold Damage\nPlayers and their Minions have 1 to 1 added Cold Damage
1 to 1 added Fire Damage\nPlayers and their Minions have 1 to 1 added Fire Damage
1 to 1 added Lightning Damage\nPlayers and their Minions have 1 to 1 added Lightning Damage
1 to 1 added Physical Damage\nPlayers and their Minions have 1 to 1 added Physical Damage
1% chance on completing a Heist to generate an additional Reveal with Whakano
1% increased Critical Strike Chance while area is not in Lockdown\nPlayers have 1% increased Critical Strike Chance while area is not in Lockdown; NumCrit*0
1% increased Damage while area is not in Lockdown\nPlayers deal 1% increased Damage while area is not in Lockdown
1% increased Damage with Hits against Enemies on Full Life\nPlayers deal 1% increased Damage with Hits against Enemies on Full Life
1% increased Movement Speed while area is not in Lockdown\nPlayers have 1% increased Movement Speed while area is not in Lockdown
1% increased Quantity of Items dropped in Heists
1% increased Rarity of Items dropped in Heists
1% increased Rogue's Marker value of primary Heist Target
1% increased time before Lockdown
1% reduced Job speed
1% reduced raising of Alert Level
1% reduced raising of Alert Level from opening Chests
1% reduced Travel Fee
Grants Level 1 Anger Skill
Grants Level 1 Determination Skill
Grants Level 1 Grace Skill
Grants Level 1 Haste Skill
Grants Level 1 Hatred Skill
Guards take 1% reduced Damage
Heist Chests have a 1% chance to Duplicate contained Basic Currency
Heist Chests have a 1% chance to Duplicate contained Blighted Maps and Catalysts
Heist Chests have a 1% chance to Duplicate contained Breach Splinters
Heist Chests have a 1% chance to Duplicate contained Delirium Orbs and Splinters
Heist Chests have a 1% chance to Duplicate contained Divination Cards
Heist Chests have a 1% chance to Duplicate contained Essences
Heist Chests have a 1% chance to Duplicate contained Jewels
Heist Chests have a 1% chance to Duplicate contained Legion Splinters
Heist Chests have a 1% chance to Duplicate contained Map Fragments
Heist Chests have a 1% chance to Duplicate contained Maps
Heist Chests have a 1% chance to Duplicate contained Oils
Heist Chests have a 1% chance to Duplicate contained Scarabs
Heist Chests have a 1% chance to Duplicate contained Sextants
Monsters have 1% chance to gain a Frenzy Charge on Hit
Monsters' skills Chain 1 additional times
Patrolling Monsters deal 1% increased Damage
Players and their Minions Regenerate 1% of Life per second
Players gain 1% reduced Flask Charges
Players gain 1% reduced Flask Charges per 1% Alert Level
Players have 1% increased Flask Charges gained
Players have 1% less Evasion per 1% Alert Level
Players have 1% less Life Recovery Rate per 1% Alert Level
Players have 1% less Mana Recovery Rate per 1% Alert Level
Reinforcements have 1% increased Attack Speed
Reinforcements have 1% increased Cast Speed
Reinforcements have 1% increased Movement Speed
Reward Room Monsters deal 1% increased Damage
Reward Rooms have 1% increased Monsters
The Ring's Cut reduced by 1%

# junk mods

+1 Energy Shield gained for each Enemy hit by your Attacks
+1 Life gained for each Enemy hit by Attacks
+1 Life gained for each Enemy hit by your Attacks
+1 Life gained on Kill
+1 Life gained on Killing Ignited Enemies
+1 Life gained when you Block
+1 Mana gained for each Enemy hit by Attacks
+1 Mana gained for each Enemy hit by your Attacks
+1 Mana gained on Kill
+1 Mana gained when you Block
+1 Physical Damage taken from Attack Hits
+1 second to Base Placed Banner Duration per Stage
+1 seconds to Attack Time
+1 seconds to Duration of Frenzy and Power Charges on Culling Strike
+1 to Accuracy Rating
+1 to Armour
+1 to Armour and Evasion Rating
+1 to Armour during Soul Gain Prevention
+1 to Armour while Frozen
+1 to Energy Shield
+1 to Evasion Rating
+1 to Evasion Rating while on Full Life
+1 to Evasion Rating while on Low Life
+1 to Level of all Fire Skill Gems
+1 to Level of Socketed Dexterity Gems
+1 to Level of Socketed Spell Gems
+1 to Level of Socketed Support Gems
+1 to Maximum Endurance Charges
+1 to maximum Fortification while Focused
+1 to Maximum Life per 1 Intelligence
+1 to maximum number of Raised Zombies
+1 to maximum number of Skeletons
+1 to maximum number of Summoned Totems
+1 to Maximum Power Charges
+1 to Melee Strike Range
+1 to Melee Strike Range per White Socket
+1 to Minimum Endurance Charges
+1 to Minimum Power Charges
+1 to radius
+1 to Radius for each Stage
+1 to radius per Stage
+1 to Spectre maximum Life
+1 to Total Mana Cost of Skills
+1 to Ward
+1% chance to be Ignited
+1% Chance to Block
+1% Chance to Block Attack Damage if you have Blocked Spell Damage Recently
+1% Chance to Block Attack Damage if you were Damaged by a Hit Recently
+1% Chance to Block Attack Damage when in Off Hand
+1% Chance to Block Attack Damage while Dual Wielding
+1% Chance to Block Attack Damage while holding a Shield
+1% Chance to Block Attack Damage while on Consecrated Ground
+1% Chance to Block Attack Damage while wielding a Staff
+1% Chance to Block Projectile Attack Damage
+1% chance to Block Spell Damage if you have Blocked Attack Damage Recently
+1% Chance to Block Spell Damage if you were Damaged by a Hit Recently
+1% Chance to Block Spell Damage while Dual Wielding
+1% Chance to Block Spell Damage while holding a Shield
+1% Chance to Block Spell Damage while on Low Life
+1% Chance to Block Spell Damage while wielding a Staff
+1% chance to Dodge Attack Hits while Focused
+1% chance to Suppress Spell Damage while your Off Hand is empty
+1% Monster Chaos Resistance
+1% Monster Elemental Resistance
+1% Monster Physical Damage Reduction
+1% to all Elemental Resistances while you have at least 1 Strength
+1% to all maximum Resistances
+1% to all maximum Resistances while you have no Endurance Charges
+1% to Chaos Resistance during any Flask Effect
+1% to Chaos Resistance when on Low Life
+1% to Cold Resistance when Socketed with a Green Gem
+1% to Fire Resistance when Socketed with a Red Gem
+1% to Fire Resistance while on Low Life
+1% to Lightning Resistance when Socketed with a Blue Gem
+1% to maximum Chance to Block Attack Damage
+1% to maximum Chaos Resistance
+1% to maximum Cold Resistance
+1% to maximum Fire Resistance
+1% to maximum Lightning Resistance
+1% to Quality
+1% to Quality of Socketed Cold Gems
+1% to Quality of Socketed Gems
+1% to Quality of Socketed Support Gems
+1% to Stone Golem Elemental Resistances
-1 Physical Damage taken from Attack Hits
-1 Physical Damage taken from Projectile Attacks
-1 Strength per 1 Strength on Allocated Passives in Radius
-1 to Maximum Endurance Charges
-1 to Total Mana Cost of Skills
-1% to all Elemental Resistances
-1% to Cold Resistance
-1% to Fire Resistance
-1% to maximum Chance to Block Attack Damage
1 Added Passive Skill is a Jewel Socket
1 Added Passive Skill is Broadside
1 Added Passive Skill is Eldritch Inspiration
1 Added Passive Skill is Iron Breaker
1 Added Passive Skill is Practiced Caster
1 Added Passive Skill is Precise Retaliation
1 Added Passive Skill is Pressure Points
1 Added Passive Skill is Prismatic Heart
1 Added Passive Skill is Second Skin
1 Added Passive Skills are Jewel Sockets
1 Life gained when you Block
1 maximum Stages
1 Physical Damage taken on Minion Death
1 seconds between appearance of Wall sections
1 to 1 Added Attack Physical Damage
1 to 1 Added Chaos Damage with Bow Attacks
1 to 1 Added Chaos Damage with Dagger Attacks
1 to 1 Added Cold Damage
1 to 1 Added Cold Damage with Bow Attacks
1 to 1 Added Cold Damage with Claw Attacks
1 to 1 Added Cold Damage with Dagger Attacks
1 to 1 Added Cold Damage with Staff Attacks
1 to 1 Added Cold Damage with Sword Attacks
1 to 1 Added Cold Damage with Wand Attacks
1 to 1 Added Fire Damage
1 to 1 added Fire Damage against Burning Enemies
1 to 1 Added Fire Damage with Axe Attacks
1 to 1 Added Fire Damage with Bow Attacks
1 to 1 Added Fire Damage with Claw Attacks
1 to 1 Added Fire Damage with Wand Attacks
1 to 1 Added Lightning Damage
1 to 1 Added Lightning Damage with Axe Attacks
1 to 1 Added Lightning Damage with Bow Attacks
1 to 1 Added Lightning Damage with Staff Attacks
1 to 1 Added Lightning Damage with Wand Attacks
1 to 1 Added Physical Damage with Bow Attacks
1 to 1 Added Physical Damage with Claw Attacks
1 to 1 Added Physical Damage with Sword Attacks
1 to 1 Added Spell Chaos Damage while Dual Wielding
1 to 1 Added Spell Chaos Damage while wielding a Two Handed Weapon
1 to 1 Added Spell Cold Damage while Dual Wielding
1 to 1 Added Spell Cold Damage while holding a Shield
1 to 1 Added Spell Cold Damage while wielding a Two Handed Weapon
1 to 1 Added Spell Fire Damage while Dual Wielding
1 to 1 Added Spell Fire Damage while holding a Shield
1 to 1 Added Spell Fire Damage while wielding a Two Handed Weapon
1 to 1 Added Spell Lightning Damage while Dual Wielding
1 to 1 Added Spell Physical Damage while Dual Wielding
1 to 1 Added Spell Physical Damage while wielding a Two Handed Weapon
1% additional Physical Damage Reduction
1% additional Physical Damage Reduction against Abyssal Monsters
1% additional Physical Damage Reduction if you weren't Damaged by a Hit Recently
1% additional Physical Damage Reduction while Focused
1% additional Physical Damage Reduction while stationary
1% chance for Flasks you use to not consume Charges
1% chance for Poisons inflicted with this Weapon to deal 1% more Damage
1% chance to Avoid being Chilled
1% chance to Avoid being Frozen
1% chance to Avoid being Shocked
1% chance to Avoid being Stunned
1% chance to Avoid Bleeding
1% chance to Avoid Elemental Ailments
1% chance to Avoid Elemental Damage from Hits during Soul Gain Prevention
1% chance to Avoid Lightning Damage from Hits
1% chance to Blind Enemies on hit
1% chance to Blind Enemies on Hit with Attacks
1% Chance to Block Attack Damage
1% Chance to Block Spell Damage
1% chance to cause Bleeding
1% chance to cause Bleeding on Hit
1% Chance to Cause Monster to Flee on Block
1% chance to Cause Monsters to Flee
1% chance to Chill Attackers for 1 seconds on Block
1% chance to deal Double Damage
1% chance to deal Double Damage while Focused
1% chance to Dodge Attack and Spell Hits if you've\nbeen Hit Recently
1% chance to Dodge Attack Hits
1% chance to Dodge Attack Hits while your Off Hand is empty
1% chance to Dodge Spell Hits
1% chance to Dodge Spell Hits if you've\ntaken Spell Damage Recently
1% chance to Dodge Spell Hits while Phasing
1% chance to double Stun Duration
1% chance to Fortify on Melee hit
1% chance to Freeze
1% chance to Freeze, Shock and Ignite
1% chance to gain a Frenzy Charge on Hit
1% chance to gain a Frenzy Charge on Kill
1% chance to gain a Frenzy Charge when an Enemy Dies while in this Skill's Area
1% Chance to gain a Power Charge on Critical Strike with Ice Spear
1% chance to gain a Power Charge on Kill
1% chance to gain a Power Charge when Projectile Hits a Rare or Unique Enemy
1% chance to gain a Power Charge when you Throw a Trap
1% chance to gain a Power, Frenzy or Endurance Charge on Kill
1% chance to gain an Endurance Charge on Kill
1% chance to gain an Endurance Charge when you Stun an Enemy
1% chance to gain Arcane Surge when you Kill an Enemy
1% chance to gain Onslaught for 1 seconds on Kill
1% chance to gain Phasing for 1 seconds on Kill
1% chance to gain Unholy Might for 1 seconds on Kill
1% chance to Gain Unholy Might for 1 seconds on Melee Kill
1% chance to grant a Frenzy Charge to nearby Allies on Hit
1% chance to grant a Power Charge to nearby Allies on Kill
1% chance to grant Onslaught to nearby Enemies on Kill
1% chance to grant Unholy Might to nearby Enemies on Kill
1% chance to Ignite
1% chance to Ignite enemies
1% chance to Impale Enemies on Hit
1% chance to Impale Enemies on Hit with Attacks
1% chance to Knock Enemies Back on hit
1% chance to Maim on Hit
1% chance to Poison on Hit
1% chance to Poison on Hit against Cursed Enemies
1% chance to Shock
1% chance to Shock Chilled Enemies
1% chance to Shock enemies
1% chance to Steal Power, Frenzy, and Endurance Charges on Hit
1% Chance to Summon a Normal Sentinel of Dominance on Hitting a Unique Monster
1% chance to Summon an additional Skeleton Warrior with Summon Skeleton
1% chance to Taunt Enemies on Hit with Attacks
1% chance to Trigger Level 1 Animate Weapon on Kill
1% chance to Trigger Level 1 Blood Rage when you Kill an Enemy
1% chance to Trigger Level 1 Shade Form when you Use a Socketed Skill
1% Chance to Trigger Level 1 Summon Spectral Wolf on Kill
1% chance to Trigger this Skill when Hit
1% Global chance to Blind Enemies on hit
1% increased Accuracy Rating per Frenzy Charge
1% increased Accuracy Rating when on Low Life
1% increased Activation frequency
1% increased Amount Recovered
1% increased Area Damage
1% increased Area of Effect
1% increased Area of Effect for Skills used by Totems
1% increased Area of Effect of Aura Skills
1% increased Area of Effect of Hex Skills
1% increased Area of Effect per 1 additional Melee Strike Range
1% increased Area of Effect per 1 Intelligence
1% increased Area of Effect per 1 Rampage Kills
1% increased Armour
1% increased Armour against Projectiles
1% increased Armour and Energy Shield
1% increased Armour and Evasion
1% increased Armour while not Ignited, Frozen or Shocked
1% increased Assassin's Mark Duration
1% increased Attack and Cast Speed if you've Killed Recently
1% increased Attack and Cast Speed while Focused
1% increased Attack Damage
1% increased Attack Damage against Bleeding Enemies
1% increased Attack Damage while Dual Wielding
1% increased Attack Damage while holding a Shield
1% increased Attack Speed if you haven't gained a Frenzy Charge Recently
1% increased Attack Speed per 1 Dexterity
1% increased Attack Speed per Frenzy Charge
1% increased Attack Speed when on Low Life
1% increased Attack Speed while Ignited
1% increased Attack Speed with Daggers
1% increased Attack Speed with Staves
1% increased Attributes
1% increased Bleeding Duration
1% increased Block Recovery
1% increased Boneshatter Stun Duration
1% increased Cast Speed if you've dealt a Critical Strike Recently
1% increased Cast Speed if you've Killed Recently
1% increased Cast Speed per Power Charge
1% increased Cast Speed while Dual Wielding
1% increased Cast Speed while holding a Shield
1% increased Cast Speed while Ignited
1% increased Cast Speed while wielding a Staff
1% increased Cast Speed with Cold Skills
1% increased Cast Speed with Fire Skills
1% increased Cast Speed with Lightning Skills
1% increased Charges used
1% increased Chill Duration on Enemies
1% increased Claw Physical Damage when on Low Life
1% increased Cleave Damage
1% increased Cold Damage if you have used a Fire Skill Recently
1% increased Cold Damage while your Off Hand is empty
1% increased Cold Damage with Attack Skills
1% increased Cooldown Recovery Rate
1% increased Cooldown Recovery Rate for each Normal or Magic Enemy in Area\n1% increased Cooldown Recovery Rate for each Rare or Unique Enemy in Area
1% increased Cooldown Recovery Rate for throwing Traps
1% increased Creeping Frost Damage
1% increased Critical Strike Chance during any Flask Effect
1% increased Damage against Abyssal Monsters
1% increased Damage during any Flask Effect
1% increased Damage per 1% Chance to Block Attack Damage
1% increased Damage per Endurance Charge
1% increased Damage per Frenzy Charge
1% increased Damage per Power Charge
1% increased Damage per Raised Zombie
1% increased Damage taken
1% increased Damage taken from Ghosts
1% increased Damage taken from Skeletons
1% increased Damage taken while on Full Energy Shield
1% increased Damage when on Low Life
1% increased Damage while Ignited
1% increased Damage while Leeching
1% increased Damage while on Consecrated Ground
1% increased Damage while you have no Frenzy Charges
1% increased Damage with Axes
1% increased Damage with Bleeding
1% increased Damage with Bow Skills
